[2020-06-17T13:52:23.775965-03:00] name.WARNING: Foo [] []
[2020-06-17T13:52:23.776363-03:00] name.ERROR: Bar [] []
[2020-06-17T13:53:49.208469-03:00] App_bytecell.WARNING: Foo [] []
[2020-06-17T13:53:49.208874-03:00] App_bytecell.ERROR: Bar [] []
[2020-06-17T13:53:49.741694-03:00] App_bytecell.WARNING: Foo [] []
[2020-06-17T13:53:49.741941-03:00] App_bytecell.ERROR: Bar [] []
[2020-06-17T13:53:49.893901-03:00] App_bytecell.WARNING: Foo [] []
[2020-06-17T13:53:49.894361-03:00] App_bytecell.ERROR: Bar [] []
[2020-06-17T13:54:09.791720-03:00] App_bytecell.WARNING: Foo [] []
[2020-06-21T16:52:05.802059-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T16:52:05.957522-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T16:52:06.108034-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T16:52:06.253209-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T16:52:31.965002-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T16:53:11.381256-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T18:18:22.982600-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T18:18:24.531151-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T18:18:24.758829-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T18:18:24.887146-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T18:18:33.982698-03:00] App_bytecell.INFO: listo el contenido de Producto [] []
[2020-06-21T18:21:07.248229-03:00] App_bytecell.INFO: listo el contenido de Producto [] []
[2020-06-21T18:21:07.637856-03:00] App_bytecell.INFO: listo el contenido de Producto [] []
[2020-06-21T18:21:07.890564-03:00] App_bytecell.INFO: listo el contenido de Producto [] []
[2020-06-21T18:21:08.128770-03:00] App_bytecell.INFO: listo el contenido de Producto [] []
[2020-06-21T18:46:32.190254-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T18:46:33.039299-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T18:46:52.729646-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T18:46:52.976750-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T18:46:53.143842-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T18:47:01.915243-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T18:47:02.505209-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T18:47:02.720002-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T18:47:02.876140-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T18:47:03.024946-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T18:47:03.208842-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T18:47:03.373064-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T18:47:03.543257-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T18:47:03.748076-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T19:04:18.303933-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T19:48:16.055541-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T19:48:16.831046-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T19:48:19.719088-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T19:48:20.349312-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T19:48:25.906750-03:00] App_bytecell.INFO: Consulta el id nro_doc de user [] []
[2020-06-21T20:17:29.666237-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T20:17:31.050387-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T20:18:06.022955-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T20:18:13.211197-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T20:21:50.879233-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T20:43:50.810375-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T20:43:51.229139-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T20:43:51.459670-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T20:43:51.631586-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T23:54:22.300717-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-22T09:59:37.419071-03:00] App_bytecell.INFO: Consulta el id nro_doc de user [] []
[2020-06-22T10:01:41.892969-03:00] App_bytecell.INFO: Consulta el id nro_doc de user [] []
[2020-06-22T10:01:42.689627-03:00] App_bytecell.INFO: Consulta el id nro_doc de user [] []
[2020-06-22T10:01:42.857882-03:00] App_bytecell.INFO: Consulta el id nro_doc de user [] []
[2020-06-22T10:01:43.029516-03:00] App_bytecell.INFO: Consulta el id nro_doc de user [] []
[2020-06-22T10:01:43.238301-03:00] App_bytecell.INFO: Consulta el id nro_doc de user [] []
[2020-06-22T10:01:43.404441-03:00] App_bytecell.INFO: Consulta el id nro_doc de user [] []
[2020-06-22T12:07:16.726143-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T12:07:18.382814-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T12:07:42.806593-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T12:08:00.836785-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T12:18:53.293640-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T12:18:53.914126-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T12:26:46.649866-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T12:26:47.478161-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T12:28:51.566541-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T12:30:26.650529-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T12:30:31.254796-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T12:33:59.139976-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T12:33:59.691284-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T12:33:59.912558-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T12:34:00.073983-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T12:36:28.473990-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T12:36:28.996139-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T12:36:31.954362-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T12:36:43.083096-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T12:37:33.868316-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T12:37:34.630694-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T12:37:34.819270-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T12:37:34.959256-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T12:37:35.023678-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T12:37:35.327226-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T12:37:35.508405-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T12:37:35.676819-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T12:37:35.772950-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T12:37:35.917829-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T12:37:45.140025-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T12:37:45.278163-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T12:37:45.430924-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T12:37:45.583570-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T12:37:45.751052-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T14:48:23.068011-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T14:48:30.414058-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T14:48:37.943528-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T14:49:34.121707-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T14:49:45.690424-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T14:49:46.482263-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T14:49:46.672223-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T14:49:46.852362-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T14:49:47.006021-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T14:49:47.174201-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T14:49:47.996598-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T14:50:03.779792-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T15:37:36.183976-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-22T22:49:53.348138-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-23T12:37:37.316338-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-23T12:37:37.538455-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-23T12:37:42.742022-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-23T19:52:51.681073-03:00] slim-app.INFO: Users list was viewed. [] {"uid":"ea8cb01"}
[2020-06-23T20:07:29.625698-03:00] slim-app.INFO: Users list was viewed. [] {"uid":"ed2a563"}
[2020-06-23T20:08:12.130723-03:00] slim-app.INFO: Users list was viewed. [] {"uid":"5892e11"}
[2020-06-23T20:20:10.433146-03:00] slim-app.INFO: Users list was viewed. [] {"uid":"558c40f"}
[2020-06-23T20:21:30.582323-03:00] slim-app.INFO: Users list was viewed. [] {"uid":"8f0744e"}
[2020-06-23T20:21:31.578202-03:00] slim-app.INFO: Users list was viewed. [] {"uid":"98437a6"}
[2020-06-23T20:23:27.762343-03:00] slim-app.INFO: Users list was viewed. [] {"uid":"26d267d"}
